title,url,bedroomCount,bathroomCount,image2D_url,label,date_created,state,property_category,property_type,country_name,city_name,master_project_name,project_name,building_name,latitude,longitude
Al Oyoun Village - 4 Bedroom Townhouse Type A Floor plan,https://www.bayut.com/floorplans/details-6712.html,4,6,"['https://images.bayut.com/thumbnails/73154699-800x600.webp', 'https://images.bayut.com/thumbnails/73154701-800x600.webp']",Ground Floor,4/22/2019,active,Residential,Townhouse,UAE,Al Ain,Al Oyoun Village,,,24.203802,55.764659
Al Oyoun Village - 4 Bedroom Townhouse Type B Floor plan,https://www.bayut.com/floorplans/details-6713.html,4,6,"['https://images.bayut.com/thumbnails/73154695-800x600.webp', 'https://images.bayut.com/thumbnails/73154697-800x600.webp']",Ground Floor,4/22/2019,active,Residential,Townhouse,UAE,Al Ain,Al Oyoun Village,,,24.203802,55.764659
Louvre Abu Dhabi Residences - 1 Bedroom Apartment Type A Floor plan,https://www.bayut.com/floorplans/details-37318.html,1,2,['https://images.bayut.com/thumbnails/246315509-800x600.webp'],,7/28/2022,active,Residential,Apartment,UAE,Abu Dhabi,Saadiyat Island,Saadiyat Cultural District,Louvre Abu Dhabi Residences,24.53509446,54.40297775
Louvre Abu Dhabi Residences - 2 Bedroom Apartment Type B Floor plan,https://www.bayut.com/floorplans/details-37319.html,2,4,['https://images.bayut.com/thumbnails/246315700-800x600.webp'],,7/28/2022,active,Residential,Apartment,UAE,Abu Dhabi,Saadiyat Island,Saadiyat Cultural District,Louvre Abu Dhabi Residences,24.53509446,54.40297775
Louvre Abu Dhabi Residences - 3 Bedroom Apartment Type A Floor plan,https://www.bayut.com/floorplans/details-37320.html,3,5,['https://images.bayut.com/thumbnails/246316077-800x600.webp'],,7/28/2022,active,Residential,Apartment,UAE,Abu Dhabi,Saadiyat Island,Saadiyat Cultural District,Louvre Abu Dhabi Residences,24.53509446,54.40297775
Louvre Abu Dhabi Residences - Studio Apartment Type A Floor plan,https://www.bayut.com/floorplans/details-37321.html,0,1,['https://images.bayut.com/thumbnails/246316350-800x600.webp'],,7/28/2022,active,Residential,Apartment,UAE,Abu Dhabi,Saadiyat Island,Saadiyat Cultural District,Louvre Abu Dhabi Residences,24.53509446,54.40297775
Louvre Abu Dhabi Residences - 2 Bedroom Apartment Type A Floor plan,https://www.bayut.com/floorplans/details-43154.html,2,3,['https://images.bayut.com/thumbnails/543152534-800x600.webp'],,12/1/2023,active,Residential,Apartment,UAE,Abu Dhabi,Saadiyat Island,Saadiyat Cultural District,Louvre Abu Dhabi Residences,24.53509446,54.40297775
Rawdhat Abu Dhabi - 1 Bedroom Apartment Type B Floor plan,https://www.bayut.com/floorplans/details-5964.html,1,2,['https://images.bayut.com/thumbnails/73157395-800x600.webp'],,4/22/2019,active,Residential,Apartment,UAE,Abu Dhabi,Rawdhat Abu Dhabi,,,24.419551,54.464542
Rawdhat Abu Dhabi - 1 Bedroom Apartment Type C Floor plan,https://www.bayut.com/floorplans/details-5965.html,1,2,['https://images.bayut.com/thumbnails/73157393-800x600.webp'],,4/22/2019,active,Residential,Apartment,UAE,Abu Dhabi,Rawdhat Abu Dhabi,,,24.419551,54.464542
Rawdhat Abu Dhabi - 3 Bedroom Apartment Type A Floor plan,https://www.bayut.com/floorplans/details-32243.html,3,4,['https://images.bayut.com/thumbnails/73157391-800x600.webp'],,5/10/2019,active,Residential,Apartment,UAE,Abu Dhabi,Rawdhat Abu Dhabi,,,24.419551,54.464542
Rawdhat Abu Dhabi - 2 Bedroom Apartment Type A Floor plan,https://www.bayut.com/floorplans/details-32244.html,2,4,['https://images.bayut.com/thumbnails/73157389-800x600.webp'],,5/10/2019,active,Residential,Apartment,UAE,Abu Dhabi,Rawdhat Abu Dhabi,,,24.419551,54.464542
Hills Abu Dhabi - 5 Bedroom Villa Type A Floor plan,https://www.bayut.com/floorplans/details-5995.html,5,7,"['https://images.bayut.com/thumbnails/73157280-800x600.webp', 'https://images.bayut.com/thumbnails/73157282-800x600.webp', 'https://images.bayut.com/thumbnails/73157284-800x600.webp']",Lower ground floor,4/22/2019,active,Residential,Villa,UAE,Abu Dhabi,Al Maqtaa,Hills Abu Dhabi,,24.4054575,54.467597
Hills Abu Dhabi - 5 Bedroom Villa Type C Floor plan,https://www.bayut.com/floorplans/details-5996.html,5,7,"['https://images.bayut.com/thumbnails/73157274-800x600.webp', 'https://images.bayut.com/thumbnails/73157276-800x600.webp', 'https://images.bayut.com/thumbnails/73157278-800x600.webp']",Basement,4/22/2019,active,Residential,Villa,UAE,Abu Dhabi,Al Maqtaa,Hills Abu Dhabi,,24.4054575,54.467597
Hills Abu Dhabi - 5 Bedroom Villa Type D Floor plan,https://www.bayut.com/floorplans/details-5997.html,5,7,"['https://images.bayut.com/thumbnails/73157268-800x600.webp', 'https://images.bayut.com/thumbnails/73157270-800x600.webp', 'https://images.bayut.com/thumbnails/73157272-800x600.webp']",Basement,4/22/2019,active,Residential,Villa,UAE,Abu Dhabi,Al Maqtaa,Hills Abu Dhabi,,24.4054575,54.467597
